Date,Open,High,Low,Close,Volume
6/22/2022,11427.74,11527.71,11708.08,11423.2,66975
6/21/2022,11446.99,11546.76,11638.47,11446.99,72522
6/17/2022,11172.65,11265.99,11357.97,11089.93,91248
6/16/2022,11286.87,11127.57,11311.05,11037.21,82482
6/15/2022,11468.13,11593.77,11751.3,11346.54,79476
6/14/2022,11385.18,11311.69,11418.22,11205.92,1
6/13/2022,11472.19,11288.32,11568.65,11254.19,89107
6/10/2022,12052.59,11832.82,12082.69,11825.35,79573
6/9/2022,12543.37,12269.78,12666.41,12265.86,65735
6/8/2022,12682.81,12615.13,12776.65,12578.55,62982
6/7/2022,12456.49,12711.68,12737.3,12413.56,59954
6/6/2022,12745.89,12599.63,12804.46,12534.58,70892
6/3/2022,12650.39,12548.03,12724.81,12505.76,61937
6/2/2022,12498.63,12892.89,12897.63,12447.77,71445
6/1/2022,12750.31,12548.36,12820.47,12457.91,63242
5/31/2022,12688.95,12642.1,12762.84,12482.33,71800
5/27/2022,12421.8,12681.42,12682.58,12405.29,69613
5/26/2022,11906.83,12276.79,12337.73,11901.87,77243
5/25/2022,11732.45,11943.93,12028.89,11714.27,69243
5/24/2022,11807.78,11769.84,11842.81,11576.11,76535
5/23/2022,11867.08,12034.28,12047.81,11785.76,70832
5/20/2022,12037.03,11835.62,12044.7,11492.29,94204
5/19/2022,11872.56,11875.63,12066.85,11795.79,88697
5/18/2022,12352.92,11928.31,12389.96,11887,78212
5/17/2022,12496.63,12564.1,12572.99,12333.99,74478
5/16/2022,12297.07,12243.58,12395.51,12196.21,66819
5/13/2022,12125.93,12387.4,12429.29,12069.13,78967
5/12/2022,11790.13,11945.5,12128.73,11692.12,98677
5/11/2022,12240.21,11967.56,12470.89,11939.09,86654
5/10/2022,12496.84,12345.86,12537.89,12173.47,90376
5/9/2022,12465.91,12187.72,12542.32,12136.19,92723
5/6/2022,12776.86,12693.54,12926.58,12522.77,84777
5/5/2022,13344.79,12850.55,13344.79,12710.59,87226
5/4/2022,13110.3,13535.71,13556.67,12887.53,92167
5/3/2022,13045.35,13089.9,13178.74,12982.7,68314
5/2/2022,12864.83,13075.85,13083.57,12716.63,79355
4/29/2022,13274.94,12854.8,13428.53,12835.48,82019
4/28/2022,13254.96,13456.06,13542.56,13038.17,87808
4/27/2022,13009.4,13003.36,13241.94,12936.41,76001
4/26/2022,13447.66,13009.71,13447.66,13009.65,70857
4/25/2022,13275.41,13533.22,13541.77,13239.73,71209
4/22/2022,13714.63,13356.87,13769.4,13342.79,66628
4/21/2022,14174.92,13720.45,14277.21,13682.68,69698
4/20/2022,14246.2,13998.53,14263.61,13962.86,68044
4/19/2022,13882.75,14210.26,14236.51,13844.74,52101
4/18/2022,13859.47,13910.76,13997.93,13788.96,51660
4/14/2022,14225.47,13893.22,14235.39,13884.82,54640
4/13/2022,13939.61,14217.29,14258.81,13919.48,55701
4/12/2022,14175.66,13940.24,14264.74,13882.75,59039
4/11/2022,14149.6,13990.21,14187.67,13979.14,60007
4/8/2022,14450.53,14327.26,14490.19,14307.68,56960
4/7/2022,14469.5,14531.81,14624.24,14315.69,61576
4/6/2022,14600.3,14498.89,14639.35,14395.4,72826
4/5/2022,15109.27,14820.64,15120.67,14782.57,58913
4/4/2022,14903.38,15159.58,15161.89,14884.57,58048
4/1/2022,14886.91,14861.21,14925.93,14723.83,65785
3/31/2022,15074.24,14838.49,15088.38,14835.16,71458
3/30/2022,15177.15,15071.55,15229.02,15010.34,64756
3/29/2022,15142.93,15239.32,15265.42,15039.61,66167
3/28/2022,14763.16,14987.4,14989.08,14705.92,60404
3/25/2022,14766.9,14754.31,14805.88,14577.59,62262
3/24/2022,14529.72,14765.7,14767.73,14440.67,72683
3/23/2022,14525.22,14447.55,14681.33,14446.04,70672
3/22/2022,14396.03,14654.33,14688.97,14385.55,67966
3/21/2022,14377.15,14376.09,14470.68,14190.53,67146
3/18/2022,14061.29,14420.08,14427.47,14014.43,85028
3/17/2022,13878.99,14118.6,14125.67,13827.34,66377
3/16/2022,13633.12,13956.79,13960.25,13475.09,94880
3/15/2022,13174.97,13458.56,13488.18,13092.45,78901
3/14/2022,13248.09,13046.64,13386.67,13020.4,1
3/11/2022,13701.8,13301.83,13714.44,13285.19,70537
3/10/2022,13577.84,13591,13633.69,13399.46,72771
3/9/2022,13610.48,13742.2,13793.11,13504.48,69894
3/8/2022,13275.23,13267.61,13663.27,13129.4,91045
3/7/2022,13853.53,13319.38,13879.1,13314.44,82216
3/4/2022,13957.6,13837.83,13992.97,13738.61,73827
3/3/2022,14339.71,14035.21,14342.56,13965.11,67623
3/2/2022,14075.11,14243.69,14292.72,13962.69,68800
3/1/2022,14197.66,14005.99,14271.58,13906.92,70070
2/28/2022,14058.61,14237.81,14296.6,14009.37,68383
2/25/2022,13973.9,14189.16,14193,13850.29,73100
2/24/2022,13065.44,13974.67,13989.1,13065.44,100913
2/23/2022,14016.94,13509.43,14035.93,13502.58,75448
2/22/2022,13892.81,13870.53,14109.27,13720.92,79703
2/18/2022,14207.55,14009.54,14225.72,13918.76,77431
2/17/2022,14485.08,14171.74,14497.46,14155.43,68699
2/16/2022,14514.84,14603.64,14647.79,14399.29,65749
