symbol,date,open,close,high,low,volume
SP-500,5/14/2020,2794.54,2852.5,2852.8,2766.64,329522
SP-500,5/13/2020,2865.86,2820,2874.14,2793.15,349435
SP-500,5/12/2020,2939.5,2870.12,2945.82,2869.59,262787
SP-500,5/11/2020,2915.46,2930.32,2944.25,2903.44,252806
SP-500,5/8/2020,2908.83,2929.8,2932.16,2902.88,256482
SP-500,5/7/2020,2878.26,2881.19,2901.92,2876.48,277748
SP-500,5/6/2020,2883.14,2848.42,2891.11,2847.65,281178
SP-500,5/5/2020,2868.88,2868.44,2898.23,2863.55,293836
SP-500,5/4/2020,2815.01,2842.74,2844.24,2797.85,283858
SP-500,5/1/2020,2869.09,2830.71,2869.09,2821.61,289162
SP-500,4/30/2020,2930.91,2912.43,2930.91,2892.47,366702
SP-500,4/29/2020,2918.46,2939.51,2954.86,2912.16,375815
SP-500,4/28/2020,2909.96,2863.39,2921.15,2860.71,313554
SP-500,4/27/2020,2854.65,2878.48,2887.72,2852.89,272168
SP-500,4/24/2020,2812.64,2836.74,2842.71,2791.76,280704
SP-500,4/23/2020,2810.42,2797.8,2844.9,2794.26,285535
SP-500,4/22/2020,2787.89,2799.31,2815.1,2775.95,274046
SP-500,4/21/2020,2784.81,2736.56,2785.54,2727.1,304543
SP-500,4/20/2020,2845.62,2823.16,2868.98,2820.43,289597
SP-500,4/17/2020,2842.43,2874.56,2879.22,2830.88,349260
SP-500,4/16/2020,2799.34,2799.55,2806.51,2764.32,313276
SP-500,4/15/2020,2795.64,2783.36,2801.88,2761.54,306112
SP-500,4/14/2020,2805.1,2846.06,2851.85,2805.1,308931
SP-500,4/13/2020,2782.46,2761.63,2782.46,2721.17,287219
SP-500,4/9/2020,2776.99,2789.82,2818.57,2762.36,426418
SP-500,4/8/2020,2685,2749.98,2760.75,2663.3,327948
SP-500,4/7/2020,2738.65,2659.41,2756.89,2657.67,412255
SP-500,4/6/2020,2578.28,2663.68,2676.85,2574.57,395119
SP-500,4/3/2020,2514.92,2488.65,2538.18,2459.96,340601
SP-500,4/2/2020,2458.54,2526.9,2533.22,2455.79,370518
SP-500,4/1/2020,2498.08,2470.5,2522.75,2447.49,353518
SP-500,3/31/2020,2614.69,2584.59,2641.39,2571.15,386427
SP-500,3/30/2020,2558.98,2626.65,2631.8,2545.28,330435
SP-500,3/27/2020,2555.87,2541.47,2615.91,2520.02,349454
SP-500,3/26/2020,2501.29,2630.07,2637.01,2500.72,421953
SP-500,3/25/2020,2457.77,2475.56,2571.42,2407.53,475275
SP-500,3/24/2020,2344.44,2447.33,2449.71,2344.44,457159
SP-500,3/23/2020,2290.71,2237.4,2300.73,2191.86,447092
SP-500,3/20/2020,2431.94,2304.92,2453.01,2295.56,515137
SP-500,3/19/2020,2393.48,2409.39,2466.97,2319.78,445933
SP-500,3/18/2020,2436.5,2398.1,2453.57,2280.52,508585
SP-500,3/17/2020,2425.66,2529.19,2553.93,2367.04,474519
